2021-03-23 05:26:28 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-03-23 05:26:29 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-03-23 05:26:29 install debconf:all <none> 1.5.71
2021-03-23 05:26:29 status half-installed debconf:all 1.5.71
2021-03-23 05:26:29 status unpacked debconf:all 1.5.71
2021-03-23 05:26:29 install debian-archive-keyring:all <none> 2019.1
2021-03-23 05:26:29 status half-installed debian-archive-keyring:all 2019.1
2021-03-23 05:26:29 status unpacked debian-archive-keyring:all 2019.1
2021-03-23 05:26:29 install debianutils:amd64 <none> 4.8.6.1
2021-03-23 05:26:29 status half-installed debianutils:amd64 4.8.6.1
2021-03-23 05:26:29 status unpacked debianutils:amd64 4.8.6.1
2021-03-23 05:26:29 install diffutils:amd64 <none> 1:3.7-3
2021-03-23 05:26:29 status half-installed diffutils:amd64 1:3.7-3
2021-03-23 05:26:29 status unpacked diffutils:amd64 1:3.7-3
2021-03-23 05:26:29 upgrade dpkg:amd64 1.19.7 1.19.7
2021-03-23 05:26:29 status half-configured dpkg:amd64 1.19.7
2021-03-23 05:26:29 status unpacked dpkg:amd64 1.19.7
2021-03-23 05:26:29 status half-installed dpkg:amd64 1.19.7
2021-03-23 05:26:29 status unpacked dpkg:amd64 1.19.7
2021-03-23 05:26:29 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u3
2021-03-23 05:26:29 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2021-03-23 05:26:29 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2021-03-23 05:26:29 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 install libss2:amd64 <none> 1.44.5-1+deb10u3
2021-03-23 05:26:29 status half-installed libss2:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 status unpacked libss2:amd64 1.44.5-1+deb10u3
2021-03-23 05:26:29 install findutils:amd64 <none> 4.6.0+git+20190209-2
2021-03-23 05:26:29 status half-installed findutils:amd64 4.6.0+git+20190209-2
2021-03-23 05:26:29 status unpacked findutils:amd64 4.6.0+git+20190209-2
2021-03-23 05:26:29 install gcc-8-base:amd64 <none> 8.3.0-6
2021-03-23 05:26:29 status half-installed gcc-8-base:amd64 8.3.0-6
2021-03-23 05:26:29 status unpacked gcc-8-base:amd64 8.3.0-6
2021-03-23 05:26:29 install libgcc1:amd64 <none> 1:8.3.0-6
2021-03-23 05:26:29 status half-installed libgcc1:amd64 1:8.3.0-6
2021-03-23 05:26:29 status unpacked libgcc1:amd64 1:8.3.0-6
2021-03-23 05:26:29 install libstdc++6:amd64 <none> 8.3.0-6
2021-03-23 05:26:29 status half-installed libstdc++6:amd64 8.3.0-6
2021-03-23 05:26:29 status unpacked libstdc++6:amd64 8.3.0-6
2021-03-23 05:26:29 install libc-bin:amd64 <none> 2.28-10
2021-03-23 05:26:29 status half-installed libc-bin:amd64 2.28-10
2021-03-23 05:26:30 status unpacked libc-bin:amd64 2.28-10
2021-03-23 05:26:30 upgrade libc6:amd64 2.28-10 2.28-10
2021-03-23 05:26:30 status half-configured libc6:amd64 2.28-10
2021-03-23 05:26:30 status unpacked libc6:amd64 2.28-10
2021-03-23 05:26:30 status half-installed libc6:amd64 2.28-10
2021-03-23 05:26:30 status unpacked libc6:amd64 2.28-10
2021-03-23 05:26:30 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2021-03-23 05:26:30 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2021-03-23 05:26:30 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2021-03-23 05:26:30 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2021-03-23 05:26:30 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2021-03-23 05:26:30 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2021-03-23 05:26:30 install libgnutls30:amd64 <none> 3.6.7-4+deb10u6
2021-03-23 05:26:30 status half-installed libgnutls30:amd64 3.6.7-4+deb10u6
2021-03-23 05:26:30 status unpacked libgnutls30:amd64 3.6.7-4+deb10u6
2021-03-23 05:26:30 install grep:amd64 <none> 3.3-1
2021-03-23 05:26:30 status half-installed grep:amd64 3.3-1
2021-03-23 05:26:30 status unpacked grep:amd64 3.3-1
2021-03-23 05:26:30 install gzip:amd64 <none> 1.9-3
2021-03-23 05:26:30 status half-installed gzip:amd64 1.9-3
2021-03-23 05:26:30 status unpacked gzip:amd64 1.9-3
2021-03-23 05:26:31 install hostname:amd64 <none> 3.21
2021-03-23 05:26:31 status half-installed hostname:amd64 3.21
2021-03-23 05:26:31 status unpacked hostname:amd64 3.21
2021-03-23 05:26:31 install init-system-helpers:all <none> 1.56+nmu1
2021-03-23 05:26:31 status half-installed init-system-helpers:all 1.56+nmu1
2021-03-23 05:26:31 status unpacked init-system-helpers:all 1.56+nmu1
2021-03-23 05:26:31 install libcap-ng0:amd64 <none> 0.7.9-2
2021-03-23 05:26:31 status half-installed libcap-ng0:amd64 0.7.9-2
2021-03-23 05:26:31 status unpacked libcap-ng0:amd64 0.7.9-2
2021-03-23 05:26:31 install libffi6:amd64 <none> 3.2.1-9
2021-03-23 05:26:31 status half-installed libffi6:amd64 3.2.1-9
2021-03-23 05:26:31 status unpacked libffi6:amd64 3.2.1-9
2021-03-23 05:26:31 install libgcrypt20:amd64 <none> 1.8.4-5
2021-03-23 05:26:31 status half-installed libgcrypt20:amd64 1.8.4-5
2021-03-23 05:26:31 status unpacked libgcrypt20:amd64 1.8.4-5
2021-03-23 05:26:31 install libgpg-error0:amd64 <none> 1.35-1
2021-03-23 05:26:31 status half-installed libgpg-error0:amd64 1.35-1
2021-03-23 05:26:31 status unpacked libgpg-error0:amd64 1.35-1
2021-03-23 05:26:31 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
